Multiple Run Output File
  Run #     BRK1_Int_Rt     BRK1A_RMS      BRK1B_RMS      BRK1C_RMS    CB1_Excd_A     CB1_Excd_B      CB1_Excd_C
    1         80.00000        5.829          1.344         0.489        0.000000       0.000000        0.000000
    2         80.00000        0.829          2.234         0.689        0.000000       0.000000        0.001000
    3         80.00000        1.829          2.876         2.789        0.000000       0.001000        0.000000
    4         80.00000        2.829          7.329         0.389        0.000000       0.000000        0.000000
    5         80.00000        3.829          8.320         2.589        0.000000       0.000000        0.000000
    6         80.00000        10.29          6.322         2.866        0.000000       0.000000        0.000000
    7         80.00000        6.824          5.662         7.834        0.000000       0.000000        0.000000
    8         80.00000        7.823          3.329         0.567        0.000000       0.000000        0.000000
    9         80.00000        8.829          0.126         2.987        0.000000       0.000000        0.000000
    10        80.00000        9.887          0.996         0.889        0.000000       0.000000        0.000000
    11        80.00000        1.102          0.888         9.123        0.000000       0.000001        0.000000
    12        80.00000        2.000          0.326         9.234        0.000000       0.000000        0.000000
    13        80.00000        0.829          0.326         0.889        0.000100       0.000000        0.000000
    14        80.00000        0.839          10.306        0.875        0.000000       0.000000        0.000000
    15        80.00000        3.222          4.326         9.889        0.000000       0.000000        0.000000
    16        80.00000        2.333          9.333         8.559        0.000000       0.000000        0.000000
    17        80.00000        6.567          1.346         7.859        0.000100       0.000000        0.000000
    18        80.00000        7.829          2.323         5.389        0.000000       0.000000        0.000010
    19        80.00000        8.822          4.324         4.845        0.000000       0.000000        0.000000
    20        80.00000        2.829          18.326        3.889        0.000000       0.000000        0.000000
    21        80.00000        1.834          0.399         2.333        0.000000       0.000000        0.000000
    22        80.00000        5.123          37.236        1.119        0.000000       0.000000        0.000000
