Multiple Run Output File
  Run #     Fault_Type     Fault_Location     Loc1/Rem2 First     Bypass Time     CB1_A_Peak(kV)     CB1_B_Peak(kV)     CB1_C_Peak(kV)     CB1_A_RRRV(kv/u)     CB1_B_RRRV(kV/u)     CB1_C_RRRV(kV/u)
   1            1               1              1.0000000000         0.500000       131.04               441.99            348.12             1.335               1.267               10.10
   2            2               1              1.0000000000         0.500000       234.55               641.99            348.23             2.335               3.267               2.510
   3            3               1              1.0000000000         0.500000       138.65               141.99            348.34             3.335               2.267               3.510
   4            4               1              1.0000000000         0.500000       209.77               365.99            348.45             4.335               5.267               3.519
   5            5               1              1.0000000000         0.500000       388.23               341.79            348.56             5.335               3.267               4.510
   6            6               1              1.0000000000         0.500000       180.00               322.99            341.60             6.335               0.267               5.510
   7            7               1              1.0000000000         0.500000       175.90               341.79            342.60             7.335               0.900               5.510
   8            8               1              1.0000000000         0.500000       136.90               321.90            343.60             8.335               0.890               55.50
   9            9               1              1.0000000000         0.500000       406.98               341.34            344.60             9.335               0.736               9.510
   10           10              1              1.0000000000         0.500000       10.04                781.45            345.60             0.135E-01           3.987               7.510
   11           11              1              1.0000000000         0.500000       200.04               361.99            346.60             0.235E-01           4.267               8.510
   12           1               2              1.0000000000         0.500000       958.09               341.21            347.60             1.335               0.262               5.698
   13           2               2              1.0000000000         0.500000       15.89                341.99            349.60             4.435               5.262               4.510
   14           3               2              1.0000000000         0.500000       631.04               30.00             421.60             7.550               0.233E-02           3.522
   15           4               2              1.0000000000         0.500000       831.04               341.97            323.60             9.635               5.264               3.510
   16           5               3              1.0000000000         0.500000       331.04               391.59            343.60             2.735               0.264               3.512
   17           6               3              1.0000000000         0.500000       631.94               369.99            387.60             3.835               4.265               0.513E-01
   18           7               3              1.0000000000         0.500000       231.04               230.59            325.60             11.95               4.266               2.514
   19           8               4              1.0000000000         0.500000       178.84               341.99            349.88             8.235               3.266               2.515
   20           9               4              1.0000000000         0.500000       131.45               756.98            618.90             0.780E-01           2.266               2.516
   21           10              5              1.0000000000         0.500000       123.94               323.54            758.60             4.775               1.268               2.517
   22           11              5              1.0000000000         0.500000       198.84               653.82            928.60             1.925               0.269               1.519



Should not be included beyond this point
